name,gender,meanings,origin
Beranda,,Unknown,Unknown
Ayoka,f,"Joy, happiness, precious one",Yoruba (Nigerian)
Bennita,f,Bennita's meaning is not available.,Bennita's origin is not available.
Caramie,f,"Beloved, Dear",English
Candys,f,"Sweet, Delicate, Charming",English
Carlett,f,"Strong, charming, determined",English
Brandlyn,f,"Variant of Brandon, combination of Brayden and Lynn",American
Carloyn,f,"Femine, Little and Womanly",English
Cassanora,f,"Pure, Bright, Clear",Irish
Chairty,f,"Charitable, benevolent",Greek
Chakevia,f,Unknown,Unknown
Chakina,f,"Spiritual, Sacred",Native American
Chantail,f,"Song, to sing, melody",French
Chekita,f,Unknown,Unknown
Chelena,f,Unknown,Unknown
Chassica,f,Unknown,Unknown
Chereen,f,"Dear, Beloved",Arabic
Cherene,f,"Beloved, Dear",English
Chinitta,f,Unknown,Unknown
Cheriese,f,Unknown,Unknown
Chirstine,f,Follower of Christ,Greek
Chrisanthi,f,Golden flower,Greek
Chrisine,f,Follower of Christ,Greek
Contrina,f,Unknown,Unknown
Colinda,f,"Variant of the name Linda, possibly meaning 'beautiful'",English
Creola,f,"Creole, Of mixed racial or cultural descent",French
Cossandra,f,"Variant of Cassandra, possibly 'shining upon men' or 'man's defender'",Greek
Crissi,f,Follower of Christ,Greek
Cristyle,f,Follower of Christ,Greek
Danele,m,God is my judge,Hebrew
Danilla,f,God is my judge,Hebrew
Delorse,f,"Sorrowful, from the sea",English
Damitra,f,"Possibly a variation of the name Dimitra, meaning 'devoted to Demeter' or 'earth mother'; also derived from the Greek name Demetrios, meaning 'follower of Demeter'",Greek
Denamarie,f,Unknown,Unknown
Denyell,f,Uncertain,Uncertain
Derinda,f,Unknown,Unknown
Desheena,f,Unknown,Unknown
Dianette,f,"Divine, follower of Diana",Latin
Dnielle,f,God is my judge,Hebrew
Diania,f,"Goddess of the hunt, divine, luminous",Greek
Dicie,f,"Fortified, Strong-willed",Latin
Dominoe,m,"Belonging to the lord, Master of the house",Latin
Donalyn,f,"Ruler of the world, World mighty, An adaptation of Donald","Irish, Scottish"
Doraliz,f,Gift of God,Unknown
Doreena,f,"Uncertain, possibly a variant of Serena","Uncertain, possibly Greek or Latin"
Edony,f,"Gloomy, Melancholic",Unknown
Dortha,f,Gift of God,English
Elethia,f,uncertain,uncertain
Elvita,f,"desired, longed for",Latin
Enise,f,Unknown,Unknown
Fateemah,f,"Chaste, pure, virtuous",Arabic
Faun,m,"Mythological deity, forest spirit, mythical creature",Latin
Ghenet,f,"paradise, garden",Amharic
Helissa,f,Unknown,Unknown
Ginae,f,"Variant of Gina, meaning ""farm worker"" or ""well-born""; blend of Gina and Renae",English
Janmarie,f,"God is gracious, combination of Jan and Marie",English
Ichelle,f,Unknown,Unknown
Jeanean,f,Modern invention,
Jeanenne,f,God is gracious,Hebrew
Jeeyoung,f,"Deep and lasting, youthful and beautiful",Korean
Jenness,,Modern creation,Unknown
Jowana,f,"God is gracious, Gift of God",Hebrew
Joylynne,f,"Joyful, Delightful",English
Jini,f,"Fair, Gracious, God is gracious",Hebrew
Juanetta,f,God is gracious,Spanish
Junetta,f,Unknown,Unknown
Kaamilya,f,Unknown,Unknown
Karlise,f,Uncertain,Latvian
Kashandra,f,"Pure, Clear",Greek
Karmisha,f,"Modern invention, likely a combination of Karma and Aisha","Modern invention, likely of American origin"
Kawona,f,Unknown,Unknown
Keiah,f,uncertain,uncertain
Kelbe,Unknown,Unknown,Unknown
Kenyel,m,"Modern invention, combination of sounds",Modern invention
Kaylle,f,"Variant of Kayla, Pure, Beloved","Hebrew, English"
Kerren,f,"Dark, Long-haired",Gaelic
Kerrilee,f,Combination of Kerr and Lee,English
Ketherine,f,"Pure, Virginal, Clear",Greek
Ketti,f,"Pure, clear, beloved",Latin
Kimba,m,"Warrior, Brave, Strong",African
Kindsay,f,Unknown,Unknown
Kinyetta,f,Unknown,Unknown
Kizzi,f,Unknown,Unknown
Kistina,f,Follower of Christ,Greek
Kresta,f,Follower of Christ,Greek
Krystallee,f,"Variant of Crystal, ice or clear, bright, variant of Krystal",English
Lachara,f,unknown,unknown
Lakeyla,f,N/A,
Lafoya,f,Unknown,Unknown
Lakitta,f,Unknown,Unknown
Lashawda,f,Unknown,Unknown
Lanel,f,Variation of Lanelle,American
Latari,Unknown,Unknown,Unknown
Latetia,f,"Joy, happiness, delight",Latin
Lateela,f,Unknown,Unknown
Latousha,f,Unknown,Unknown
Latoyria,f,"Joyful, Victorious",American
Latoyo,f,Unknown,Unknown
Latresia,f,Unknown,Unknown
Latres,Unknown,Unknown,Unknown
Latwana,f,Unknown,Unknown
Leslianne,f,"Variation of Leslie, Garden of hollies",Scottish
Libra,f,"Scales, Balance",Latin
Lirije,f,"Freedom, liberty",Albanian
Loletta,f,"Pure, Chaste",Greek
Lorey,f,Uncertain,Unknown
Machel,m,"Gift of God, Who is like God?",Hebrew
Majken,f,Bitter or pearl,Scandinavian
Manada,f,"Unity, Pulling together, Family",Sanskrit
Manette,f,God is with us,French
Margi,f,"Pearl, Child of light",Greek
Marshonda,f,Modern invention,American
Marueen,f,Uncertain,Uncertain
Marlaine,f,Uncertain,French
Mashea,f,Unknown,Unknown
Marquitha,f,Unknown,Unknown
Merette,f,"Sea of Bitterness, Rebelliousness, Wished-for child","Irish, Hebrew"
Miakka,f,Unknown,Unknown
Merlene,f,Uncertain,English
Mirlene,f,Unknown,Unknown
Molika,f,"Gentle, soft, tender",Sanskrit
Nachele,f,Unknown,Unknown
Natoyia,f,Unknown,Unknown
Myoshi,f,Unknown,Japanese
Natrina,f,Unknown,Unknown
Nicohle,f,Victory of the people,Greek
Nikkeya,f,Unknown,Unknown
Pamila,f,"Honey, Sweet",Greek
Pavelle,f,"Small, Humble",Latin
Peria,f,Unknown,Unknown
Quanessa,f,Unknown,Unknown
Quenita,f,Unknown,Unknown
Rasheeta,f,Unknown,Unknown
Ralena,f,"Strong, Energetic",Unknown
Patrena,f,"Noblewoman, Patrician",Greek
Revea,f,"To reveal, to uncover",Latin
Reynelda,f,"Counselor, Protector",Germanic
Rhana,f,"Queen, Noble, Graceful","Irish, Arabic"
Rosiland,f,"Variant of Rosalind, beautiful rose",English
Sagine,f,Unknown,Unknown
Sanquenetta,f,Unknown,Unknown
Shakeemah,f,Unknown,Unknown
Shameaka,f,Unknown,Unknown
Serica,f,Unknown,Unknown
Shamecia,f,Unknown,Unknown
Shametrice,f,Uncertain,Uncertain
Shamonda,f,Unknown,Unknown
Shanecka,f,Unknown,Unknown
Shenitha,f,Unknown,Unknown
Sharray,,,
Shereeta,f,Unknown,Unknown
Shereda,f,"Beloved, cherished",Hebrew
Sheretha,f,Unknown,Unknown
Sherkita,f,Unknown,Unknown
Sherrea,f,Unknown,Unknown
Sherrena,f,Unknown,Unknown
Shetika,f,Unknown,Unknown
Shimekia,f,Unknown,Unknown
Shioban,f,God is gracious,Irish
Shontee,f,Unknown,Unknown
Shirene,f,"Sweet, beautiful",Persian
Staria,f,Unknown,Unknown
Stefaine,f,"Crown, Victorious",Greek
Sunie,f,"Sunshine, Sunbeam",English
Tabathe,Unknown,Unknown,Unknown
Tamaika,f,Unknown,Unknown
Tamijo,Unknown,Unknown,Unknown
Sunnye,f,"Cheerful, Bright, Happy",English
Tammica,f,Unknown,Unknown
Tanida,f,Not available,Thai
Taquetta,f,Uncertain,Uncertain
Tangenika,f,Unknown,Unknown
Tary,m,Unknown,Unknown
Taska,f,"burden, responsibility",Hungarian
Tawanya,f,Uncertain,Uncertain
Telica,f,Unknown,Unknown
Tenara,f,Unknown,Unknown
Teneasha,f,Unknown,Unknown
Tewanna,f,Unknown,Unknown
Thawann,m,Unknown,Unknown
Tiere,m,Uncertain,Uncertain
Tigre,m,Tiger,Spanish
Tineke,f,"Strong, Brave",Dutch
Tishonna,f,Uncertain,Unknown
Toshiko,f,"alert child, clever child",Japanese
Travonda,f,Unknown,Unknown
Toyna,f,unknown,unknown
Trese,f,"Strong-willed, Brave",Unknown
Tresta,f,Unknown,Unknown
Triska,f,Unknown,Unknown
Tyronza,f,Unknown,Unknown
Tuong,m,"Blessing, Heroic, Revered",Vietnamese
Valree,f,"Strong, Courageous",French
Velena,f,Unknown,Unknown
Wadia,f,Unknown,Arabic
Wakisha,f,Unknown,Unknown
Yarenys,f,Unknown,Unknown
Yizza,f,,
Yemisi,f,Honored and cherished,Yoruba
Ameet,m,"Friend, Beloved",Sanskrit
Yashekia,f,"Life, She who brings life",African
Quisto,m,Unknown,Unknown
Lavor,m,"Worker, Laborer",Latin
Tranel,m,Unknown,Unknown
Franics,m,Frenchman,Latin
Antvan,,Unknown,Unknown
Jamayel,m,Unknown,Unknown
Jeconiah,m,Established by God,Hebrew
Okeith,m,Unknown,Unknown
Jerrylee,f,"Modern, Variant of Jerry and Lee",English
Kashiff,m,"Enlightened, Wise",Arabic
Orman,m,"From the edge of the woods, woodsman",English
Rodregus,m,"Famous ruler, Warrior",Latin
Terrio,m,"Smooth, From the Earth",Latin
Ahbleza,Unknown,Unknown,Unknown
Abiodun,m,"Born at the time of festival, Biiodun's birth was a joyous occasion",Yoruba
Antwand,m,Uncertain,Uncertain
Antyon,m,Unknown,Unknown
Duard,m,Unknown,Unknown
Calletano,m,Unknown,Spanish
Elgie,m,"Noble, White, Bright, Sacred",Greek
Jammey,m,"Supplanter, may God protect",Hebrew
Jard,m,"Garden, Land of plenty",Unknown
Jeremial,Unknown,Unknown,Unknown
Jermil,m,Unknown,Unknown
Jaymichael,m,Modern name,American
Jermyn,m,Unknown,Unknown
Kurtus,m,"Counselor, Advisor",Latin
Lebarron,m,"Cognate of the French sobriquet Le Baron, which means 'the baron'",French
Pasqualino,m,"Easter, Passover",Italian
Pauljohn,m,"Small, humble",Hebrew
Roert,m,"Famed, bright, shining",Germanic
Tarvares,m,Unknown,Unknown
Tashiem,m,Unknown,Unknown
Adarryl,m,Uncertain,Uncertain
Barnell,m,"From the barony hill, son of Bernard",English
Terone,m,Unknown,Unknown
Berek,m,"Blessed, Strong, Bear-like",Polish
Berley,m,From a barley meadow,English
Carig,Unknown,Unknown,Unknown
Braderick,m,"Variant of Broderick, meaning 'son of Roderick'",English
Chien,m,"modest, humble",Chinese
Chadwich,m,"Warrior, Defender",English
Deantony,m,Uncertain,Uncertain
Emmanel,m,God is with us,Hebrew
Gernard,m,"Strong bear, Brave spearman",Germanic
Dekoven,m,"Variant of Deacon, from the occupational name for a deacon in the Christian church",English
Erskin,m,"From the high cliff, knowing, vigilant",Scottish
Gerran,m,"Spear-friend, mighty with a spear","English, German"
Gilford,m,From the estate by the ford,English
Jarmall,m,Unknown,Unknown
Gumercindo,m,Unknown,Spanish
Jerimaine,m,"Variant of Jermaine, from the Latin name Germain, meaning 'from Germany'",Latin
Jerre,m,uncertain,uncertain
Joason,,Unknown,
Johusa,,,
Jerimia,m,"The Lord exalts, Appointed by God",Hebrew
Kendrich,m,"Chief, ruler",Scottish
Laquin,Unknown,Unknown,Unknown
Larnelle,m,Modern invention with no specific meaning,"Unknown, possibly American"
Lafrance,m,"The French, The Frenchman",French
Lavall,m,"From the Old French 'la val', meaning 'the valley'",French
Linard,m,"Brave lion, hardy, strong-willed",Germanic
Mergeron,,Unknown,Unknown
Marcum,m,"Warlike, From the god Mars",Latin
Micheaux,m,Unknown,French
Nthan,Unknown,Unknown,Unknown
Rendall,m,"Derived from the Old Norse name Rögnvaldr, which means 'advice' and 'ruler', Originating from the Old Norse elements 'regin' and 'valdr'",Old Norse
Oel,Unknown,Unknown,Unknown
Roderich,m,Famous ruler,German
Pejman,m,"Desire, longing, wish",Persian
Renauldo,m,"wise ruler, powerful leader",Germanic
Samel,m,unknown,unknown
Stace,m,"Resurrection, Standing","Greek, English"
Tatton,m,Unknown,Unknown
Taurence,m,"Variant of Terence, Smooth, Polished, Tender, Delicate",Latin
Sabu,m,Uncertain,Uncertain
Thony,m,Unknown,Unknown
Tiemeyer,,,
Tobais,m,"God is good, Yahweh is good",Hebrew
Trond,m,Unknown,Norwegian
Trieu,m,"outstanding, excellent, distinguished",Vietnamese
Turmaine,m,Unknown,Unknown
Ulysee,m,"To hate, Enraged",Greek
Sorangel,f,God's grace,Latin
Welford,m,"From the ford by the well, wall by the ford",English
Catrinia,f,"Pure, clear",Greek
Miceala,f,Who is like God,Irish
Virgle,m,Unknown,Unknown
Nickisha,f,Unknown,Unknown
Karne,Unknown,Unknown,Unknown
Abbra,f,,
Shequitta,f,Unknown,Unknown
Ardith,f,Derived from Old English words for 'home' and 'strength',English
Damica,f,Unknown,Unknown
Jolanta,f,violet flower,Lithuanian
Jillmarie,f,"Youthful, Beloved",English
Domonigue,m,"Belonging to the Lord, of the Lord",Latin
Katima,f,Unknown,Unknown
Meyosha,f,Uncertain,Unknown
Rhawnie,f,Unknown,Unknown
Salley,f,"Princess, Noble, Bright, Sorrowful","English, Hebrew"
Sundee,f,No specific meaning found,English
Sylivia,f,"Forest, Woods, From the forest",Latin
Tenile,f,Unknown,Unknown
Terasha,f,Unknown,Unknown
Arlanda,f,Uncertain,
Anglia,f,Land of the Angles,Old English
Tiffanye,f,"Manifestation of God, Epiphany, She who appears in theophanies",Greek
Chelia,f,"Heavenly, Divine",Greek
Christe,f,Follower of Christ,Greek
Elessa,f,Uncertain,Unknown
Denene,f,Unknown,Unknown
Genika,f,Unknown,Unknown
Glynda,f,"Variant of Glenda, clean, holy, good",Welsh
Justi,m,"just, righteous",Latin
Keystle,Unknown,Unknown,Unknown
Kinyata,f,Unknown,Unknown
Keesa,f,"Pure, fortunate",Unknown
Kristylee,f,"follower of Christ, beautiful, graceful",English
Lagena,f,"Calm, serene",Unknown
Laguanda,f,Uncertain,Uncertain
Laverna,f,Unknown,Unknown
Lathisa,f,Unknown,Unknown
Lurena,f,Unknown,Unknown
Mariatheresa,f,"Bitterness, Harvest",Italian
Meggi,f,pearl,Greek
Poua,f,Unknown,Hmong
Niclole,f,Victory of the people,Greek
Quanette,f,Unknown,Unknown
Sanquetta,f,Unknown,Unknown
Sherkia,f,Unknown,Unknown
Satyra,f,Unknown,Unknown
Sherrese,f,Unclear,Unclear
Sioban,f,God is gracious,Irish
Tenell,Unknown,Unknown,Unknown
Tawonda,f,unknown,unknown
Teenamarie,f,Modern combination of Tina and Marie,American
Tenielle,f,unknown,unknown
Tinita,f,Unknown,Unknown
Tilla,f,"Mighty in battle, battle-mighty",Germanic
Tonyia,f,Uncertain,Uncertain
Tristia,f,"Sadness, Grief",Latin
Vinyette,f,Unknown,Unknown
Yentel,m/f,Unknown,Unknown
Anamda,f,Unknown,Unknown
Amdrea,f,"Strong, courageous",Greek
Amarily,f,"Beloved, Graceful",Latin
Bambie,f,"Child of nature, beloved, little one","Italian, English"
Buffie,f,"Strong, Vigorous, Robust",English
Chimira,f,Unknown,Unknown
Ceilia,f,"Blind, Sixth",Latin
Cimberly,f,Unknown,Unknown
Contina,f,Unknown,Unknown
Detoya,f,Unknown,Unknown
Dakisha,f,"Combination of Da- and Keisha, uncertain meaning",American
Darcus,m,"Dark, from the Arcadian tribe",Latin
Delonna,f,"Variant of Donna, possibly meaning 'lady', or 'woman of the world'","Italian, English"
Diadra,f,Uncertain,Uncertain
Fasha,f,Unknown,Unknown
Dinelle,f,Unknown,Unknown
Jacintha,f,hyacinth flower,Greek
Genesa,f,"Origin, original, beginning",Greek
Eliesha,f,"Derived from the name Elisha, meaning 'God is salvation', also possibly means 'My God is a vow'",Hebrew
Jacquleen,f,"Supplanter, feminine form of Jacob",Hebrew
Jamianne,f,Gracious gift of God,Unknown
Jeneal,f,Modern invention,Modern English
Jenalea,f,"Modern invention, combination of Jenna and Lea",Modern English
Jovanda,f,"Gracious, God is gracious",Latin
Keneta,f,Unknown,Unknown
Kanetha,f,Unknown,Unknown
Kineta,f,Unknown,Unknown
Kenetha,f,Gaelic: Born of fire; English: Handsome,"Gaelic, English"
Kiriaki,f,"belonging to the Lord, from the Lord",Greek
Krisheena,f,Unknown,Unknown
Laconia,f,From Laconia,Greek
Laguisha,f,Uncertain,Uncertain
Lakoya,f,Unknown,Unknown
Latisia,f,Unknown,Unknown
Laytona,,Unknown,Unknown
Ludia,f,Unknown,Unknown
Lislie,f,"Garden of holly, From the gray fort, Dwells at the gray fortress",Scottish
Linsday,f,"Linden island, Lindsay's island, from the linden tree island","Scottish, English"
Lelsie,f,"Garden of holly, From the gray fortress, Holly garden",Scottish
Marshia,f,Unknown,Unknown
Marsheena,f,Uncertain,Uncertain
Melissasue,f,Honeybee,Greek
Melindasue,f,Combination of Melinda and Sue,English
Moneika,f,Uncertain,Uncertain
Naheed,f,"Morning dew, Beautiful, Venus",Persian
Narita,f,Unknown,Unknown
Pamla,f,Unknown,Unknown
Ninja,m,"Warrior, Expert, Skilled",Japanese
Raushanah,f,Unknown,Unknown
Quentisha,f,"Derived from Quentin and Trisha, meaning ""fifth"" and ""noble, patrician""",
Rinda,f,"Warrior, Mighty, Strength",Germanic
Romanda,f,Unknown,Unknown
Sekina,f,"Calm, Tranquil, Peaceful",Arabic
Shaconna,f,Unknown,Unknown
Shahera,f,"Warrior, Brave, Noble",Arabic
Sharenna,f,Unknown,Unknown
Sharree,f,"Variant of Sherry, dear, beloved",English
Shawntai,f,God is gracious,Hebrew
Sheelah,f,"Blind, Gaelic, Sheela Na Gig",Irish
Shekeya,f,Unknown,Unknown
Shekima,f,Unknown,Unknown
Shemicka,f,Unknown,Unknown
Shontaya,f,Modern invention,American
Sherna,f,Unknown,Unknown
Sherille,f,"Beloved, Dear, Darling",English
Silbia,f,Unknown,Unknown
Takecia,f,Unknown,Unknown
Takindra,f,Unknown,Unknown
Tamla,f,Uncertain,Uncertain
Tenisa,f,Unknown,Unknown
Tenica,f,Unknown,Unknown
Tennia,f,Unknown,Unknown
Tibisay,f,Unknown,Native American
Timekia,f,Unknown,Unknown
Yavonda,f,Unknown,Unknown
Tennile,f,"Variant of Tennille, possibly a combination of the names Tenley and Camille",English
Adine,f,"Noble, Delicate",Hebrew
Almetra,f,Unknown,Unknown
Ajeenah,f,Unknown,Unknown
Andice,,Unknown,Unknown
Adnrea,f,"Strong, brave",Greek
Anedra,f,Unknown,Unknown
Angelamaria,f,"Angel: messenger of God, Maria: wished for child",Latin
Anorea,f,Unknown,Unknown
Angeligue,f,Messenger of God,Greek
Annaliisa,f,"Gracious, God is my oath",Hebrew
Atie,f,Unknown,Unknown
Bobbiesue,,,
Arnetra,f,Unknown,Unknown
Argiro,f,"Silvery, Bright, Shiny",Greek
Ashlely,f,Meadow of ash trees,Old English
Brandylee,,,
Cathlena,f,"Pure, clear, holy",Irish
Brandeis,m,"From a German surname, possibly meaning 'dweller by the burnt clearing' or 'dweller near a hill',",German
Brendalis,f,"Variant of Brenda, uncertain meaning",Uncertain
Catiria,f,Unknown,Unknown
Chantile,f,"Song, melody",French
Cerrissa,f,Unknown,Unknown
Charece,f,Unknown,Unknown
Charta,,,
Chennell,f,modern name,English
Charisha,f,A blend of the names Charity and Alisha,Modern English
Cherylanne,f,"Cheryl means dear one, Anne means grace or favored",English
Cherylee,f,"Beloved, Dear, Cherry tree meadow",English
Chiketa,f,Unknown,Unknown
Chrisina,f,"Follower of Christ, Christian woman",Greek
Chisty,m,"Pure, innocent",Russian
Cindra,f,"warrior, moon",English
Conni,f,"Strong willed, brave",English
Daarina,f,unknown,unknown
Cristinia,f,follower of Christ,Greek
Dalesia,f,Uncertain,Unknown
Cynthiaann,f,"Moon, Goddess of the Moon",Greek
Densie,f,Unknown,Unknown
Dinita,f,Unknown,Unknown
Diseree,f,Uncertain,Uncertain
Deloria,f,Uncertain,Uncertain
Darenda,f,"Chosen one, Desired, Beloved",English
Dommonique,f,"Of the Lord, Belonging to the Lord",Latin
Domonque,m,"Variant of Dominic, belonging to the lord",Latin
Dominee,m,"To dominate, rule, master",Latin
Doray,f,Unknown,Unknown
Elenita,f,"Bright, Torch, Sun ray",Spanish
Elizabath,f,Consecrated to God,Hebrew
Falena,f,"like a moth, night butterfly",Italian
Evyan,f,Unknown,
Filisha,f,Unknown,Unknown
Flecia,f,"Happy, Lively",Latin
Flicia,f,"Happy, lucky",Latin
Geniffer,f,"white wave, soft, fair, smooth","English, Welsh"
Ginnette,f,Modern blend of the names Ginny and Annette,English
Golnaz,f,Flower of the Sky,Persian
Gyna,f,Unknown,Unknown
Halleh,f,Unknown,Unknown
Hollylynn,f,"Holly: plant and symbol of Christmas, Lynn: lake, waterfall",English
Ikisha,f,"Life, Alive, Lively",Swahili
Jaronda,f,The meaning of Jaronda is currently not available.,Unknown
Jamena,f,Unknown,Unknown
Jasine,f,God's gracious gift,Greek
Jeannea,f,God is gracious,Hebrew
Jeresa,f,Uncertain,Uncertain
Joleta,f,Unknown,Unknown
Joangela,f,God's gracious gift,Spanish
Jillan,f,"Youthful, Downy-haired",English
Joletta,f,Unknown,Unknown
Juwanda,f,Unknown,Unknown
Kemeshia,f,Unknown,Unknown
Kenyarda,f,Unknown,Unknown
Kanethia,f,Unknown,Unknown
Keoka,Unknown,Unknown,Unknown
Kimbrly,f,"Warrior, Royal meadow",Old English
Keywanda,f,Unknown,Unknown
Keystal,f,Uncertain,
Kindy,f,"Kind, Generous, Compassionate",English
Kristinejoy,f,"Christ follower, joyful","Greek, English"
Krystalmarie,f,"Crystal, Marie","English, French"
Kryste,f,Follower of Christ,Greek
Krysteen,f,Follower of Christ,Greek
Kula,m/f,Unknown,Unknown
Ladanna,f,Unknown,Unknown
Laguita,f,Unknown,Unknown
Ladreka,f,"Combination of La and Drea, possibly meaning unknown",American
Laquista,f,Uncertain,Uncertain
Laquite,Unknown,Unknown,Unknown
Latoyer,m,"noble, victorious",French
Laveta,f,"Pure, Cleansed",Unknown
Lecole,Unknown,Unknown,Unknown
Latorrie,f,Unknown,Unknown
Lashunna,f,Modern invention,"Uncertain, perhaps a blend of La- and -shunna"
Letetia,f,"Joy, happiness",Latin
Liliano,m,Unknown,Unknown
Letonya,f,Unknown,Unknown
Lititia,f,"Joy, Happiness",Latin
Lizann,f,"Consecrated to God, pledged to God",Hebrew
Ltoya,f,Unknown,Unknown
Lugenia,f,Unknown,Unknown
Makida,f,unknown,African
Margulia,f,Unknown,Unknown
Marites,f,"possibly derived from the name Margaret, meaning pearl",Latin
Markina,f,"Warlike, dedicated to Mars",Latin
Marlanda,f,"Variant of Marlene, Modern combination of Mary and Linda",American
Mashanda,f,Uncertain,Uncertain
Matricia,f,Unknown,Unknown
Meghean,f,"Pearl, Child of light",Irish
Me,f,"Eyes, Beauty, Love",Persian
Melandie,f,"Invention, Combination of Mel and Andie, Uncertain",English
Moneca,f,Uncertain,Uncertain
Merridith,f,"Protector, Honorable",Welsh
Myrlande,f,Uncertain,Uncertain
Nairy,f,Unknown,Unknown
Nakecia,f,Unknown,Unknown
Nakeena,f,Unknown,Unknown
Nateasha,f,Unknown,Unknown
Natricia,f,Unknown,Unknown
Natessa,f,Unknown,Unknown
Neghan,,Unknown,Unknown
Ncole,f,Victory of the people,Greek
Nichoal,Unknown,Unknown,Unknown
Olatokunbo,m,"Wealthy, honored, born in wealth",Yoruba
Ngocanh,f,"Jade, Peaceful, Serene",Vietnamese
Nessie,f,"Derived from name Vanessa, Diminutive of Agnes, Meaning 'pure' or 'holy'","English, Scottish"
Pamelia,f,Undefined,Undefined
Quentella,,Unknown,Unknown
Peggi,f,"Variant of Peggy, Diminutive of Margaret",English
Phylis,f,Unknown,Greek
Puaolena,f,Not available,Hawaiian
Quinnita,f,,
Raashida,f,"Righteous, Pious",Arabic
Rackel,f,"Ewe, Lamb",Hebrew
Rajani,f,"Night, dark, getting dark",Sanskrit
Rhondalyn,f,"Counselor, Beloved, Ruler",English
Ricquita,f,Unknown,Unknown
Ristin,Unknown,Unknown,Unknown
Rondi,f,"Song, Beautiful, Joyful",Unknown
Sabrenia,f,Unknown,Unknown
Rozalind,f,"Variant of Rosalind, beautiful rose",Germanic
Sacheen,f,"Graceful, Beautiful",Native American
Sadiyya,f,"Fulfilled, happy, fortunate",Arabic
Saroun,Unknown,Unknown,Unknown
Sasheen,Unknown,Unknown,Unknown
Sarica,f,"Princess, Noble, Flowing",Unknown
Savoeun,m,Unknown,Unknown
Shahanna,f,"Queen, Royal",Persian
Shantiel,f,"peaceful, calm, serene",Spanish
Shanka,m,"Conch, Shell",Sanskrit
Shantya,f,"Peaceful, tranquil",Sanskrit
Shaheerah,f,"Noble, distinguished",Arabic
Shakka,m,Uncertain,Uncertain
Shawnesha,f,Uncertain,Uncertain
Shaunel,f,God is gracious,English
Sheren,f,"Sweet, beloved",Persian
Sheleena,f,"Variant of Selena, moon goddess",Greek
Shellina,f,"Variant of Selena, moon goddess, heavenly, the moon",Greek
Sherquita,f,Unknown,Unknown
Sherian,f,Unknown,Unknown
Sheterica,f,Unknown,Unknown
Sherylann,f,"Beloved, Graceful",English
Shmeka,f,Unknown,Unknown
Shiketa,f,Unknown,Unknown
Shonetta,f,Modern invention,
Shontai,f,Unknown,Unknown
Susa,f,"Lily, graceful, pure",Hebrew
Syble,f,"prophetess, oracle",Greek
Tambi,Unknown,Unknown,Unknown
Tamella,f,Unknown,Unknown
Tannette,f,Unknown,Unknown
Tamillia,f,Uncertain,Uncertain
Taquoya,f,Unknown,Unknown
Taree,f,Uncertain,Uncertain
Tarria,f,Unknown,Unknown
Tarha,f,Unknown,Unknown
Tashunda,f,Unknown,Unknown
Taundra,f,Unknown,Unknown
Thoa,f,Unknown,Vietnamese
Tikeisha,f,Uncertain,Uncertain
Tiffeney,f,"Variant of Tiffany, Epiphany, manifestation of god, appearance of god","Greek, English"
Tertia,f,"Third, the third child",Latin
Timaree,f,"Variant of Tamara, Palm tree, Date palm",Unknown
Tonnetta,f,Uncertain,Uncertain
Tyesa,f,Uncertain,Uncertain
Tralana,f,Uncertain,Uncertain
Tynica,f,Unknown,Unknown
Verronica,f,"True image, Honest, Bringer of victory",Latin
Wilisha,f,Unknown,Unknown
Vonessa,f,Unknown,Unknown
Wykeshia,f,unknown,unknown
Wylene,f,Unknown,Unknown
Ymelda,f,unknown,unknown
Wynetta,f,"Friend, fair, gracious",Gaelic
Gemayel,m,unknown,Arabic
Aul,m,"Noble, Leader, Intelligent",Germanic
Damany,m,Unknown,Unknown
Wykisha,f,Unknown,Unknown
Sophan,m,"Pure, Wise",Greek
Mikos,Unknown,Unknown,Unknown
Garylee,m,"Spear rule, Meadow near the spear",English
Josa,m,"God will add, God increases",Hebrew
Lacory,m,Uncertain,Uncertain
Deloren,m,"From the surname Deloren, possibly meaning ""the laurel tree"", or from the French and Italian word for ""of the gold/golden"" or ""the gold one""","French, Italian"
Kristoher,m,"Follower of Christ, Bearer of Christ",Greek
Marucs,m,"dedicated to Mars, warlike",Latin
Lemarr,m,"From the sea, of the sea",French
Nickos,m,Victory of the people,Greek
Mattlock,m,Unknown,Unknown
Rahmell,m,"Compassionate, Merciful",Arabic
Remijio,m,Unknown,Unknown
Rattana,f,"crystal, gem, beautiful, precious",Thai
Alfredrick,m,"Elf ruler, peaceful ruler",English
Soctt,m,"From Scotland, Wanderer",Scottish
Antroine,m,Uncertain,Uncertain
Atonio,m,"Priceless, Invaluable",Spanish
Baudilio,m,"bold, brave, courageous",Latin
Chanh,m,unknown,Vietnamese
Cregg,m,"From the rocky peak, son of grace",Irish
Darroll,m,"Dear, Darling, Beloved",Irish
Dniel,m,God is my judge,Hebrew
Dward,m,Unknown,Unknown
Edurdo,m,Guardian of prosperity,Spanish
Jimell,m,Unknown,Unknown
Fotis,m,"Luminous, Shining",Greek
Josheua,m,Jehovah is salvation,Hebrew
Kirstopher,m,Follower of Christ,Greek
Naguan,Unknown,Unknown,Unknown
Regory,m,Uncertain,Uncertain
Robrt,m,Bright fame,Germanic
